
 -,-,-
-0.226,0.258,1.800
-1.106,-0.367,1.103
-0.051,-0.164,0.906
-0.165,-0.333,0.996
-0.381,-0.308,1.312
-0.453,-0.526,1.282
-0.241,-0.295,1.370
-0.229,-0.287,1.251
-0.286,-0.263,1.275
-0.266,-0.356,1.179
-0.039,-0.344,0.948
0.031,-0.437,0.699
0.246,-0.677,0.218
0.699,-1.027,-0.403
0.889,-1.193,-0.647
1.163,-1.375,-1.310
1.108,-1.380,-1.116
1.364,-1.544,-1.411
1.654,-1.846,-1.803
1.119,-2.329,-1.114
-0.615,-0.295,0.985
3.740,4.000,0.534
4.000,-0.114,-3.973
-1.827,-0.505,-0.110
0.754,0.038,-0.699
0.752,-0.008,-0.155
0.119,-0.062,-0.053
-0.248,0.392,0.157
-0.018,-0.362,-0.028
0.337,-0.658,-0.159
0.144,-0.470,0.065
0.218,-0.729,0.111
0.125,-1.587,0.321
-0.926,-1.717,0.491
-0.579,-0.860,1.250
-0.486,-0.730,1.345
-4.000,-0.198,2.414
0.160,-0.188,0.593
-0.152,0.303,1.840
0.101,-0.485,1.252
-0.723,-0.232,1.299
-0.441,-0.123,1.152
-0.232,-0.359,1.044
-0.587,0.000,1.226
-0.543,0.080,1.015
-0.306,0.149,1.103
-0.361,0.229,1.031
-0.269,0.216,0.935
-0.278,0.191,0.988
-0.265,0.217,1.026
-0.276,0.195,0.853
-0.271,0.171,0.886
-0.232,0.111,0.819
-0.320,0.070,0.801
-0.338,0.148,0.994
-0.369,0.197,0.982
-0.355,0.143,0.936
-0.323,0.114,0.976
-0.335,0.158,0.975
-0.388,0.151,0.944
-0.371,0.143,0.954
-0.379,0.124,0.893
-0.376,0.121,0.922
-0.391,0.186,0.953
-0.408,0.196,0.948
-0.407,0.176,0.925
-0.395,0.163,0.894
-0.377,0.174,0.917
-0.389,0.159,0.921
-0.376,0.162,0.912
-0.396,0.149,0.909
-0.397,0.166,0.936
-0.407,0.159,0.926
-0.369,0.121,0.891
-0.382,0.119,0.894
-0.390,0.159,0.919
-0.394,0.168,0.933
-0.378,0.156,0.906
-0.389,0.146,0.904
-0.380,0.148,0.907
-0.390,0.154,0.912
-0.386,0.181,0.924
-0.384,0.187,0.926
-0.399,0.157,0.898
-0.384,0.165,0.912
-0.412,0.181,0.922
-0.391,0.170,0.916
-0.393,0.159,0.892
-0.391,0.165,0.923
-0.414,0.174,0.901
-0.397,0.163,0.921
-0.411,0.171,0.916
-0.408,0.173,0.917
-0.419,0.180,0.933
-0.410,0.197,0.919
-0.421,0.184,0.921
-0.416,0.197,0.907
-0.406,0.215,0.904
-0.370,0.202,0.902
-0.453,0.248,0.911

 -,-,-
-0.163,-0.060,1.276
-0.595,-0.282,0.984
-0.410,-0.547,1.137
-0.526,-0.532,1.344
-0.310,-0.261,1.429
-0.333,-0.242,1.284
-0.266,-0.341,1.219
-0.046,-0.333,1.114
-0.051,-0.459,0.834
0.166,-0.624,0.476
0.489,-0.849,0.271
0.750,-0.989,-0.155
1.002,-1.222,-0.815
1.222,-1.474,-0.860
1.209,-1.492,-1.137
1.288,-1.616,-1.315
1.583,-2.101,-1.519
1.339,-2.068,-0.804
-1.013,-0.232,1.271
